node_id,section_id,x,y,lon,lat
138,69,413354.7154014635,5591269.829539874,-4.220881781125726,50.467016249907495
139,69,413290.3350827699,5591411.565097535,-4.221821561499621,50.46828111567857
140,70,413528.66885089135,5591258.3946216535,-4.218428625046165,50.466939117625444
141,70,413517.49089655187,5591468.183764692,-4.218634578001212,50.46882374373196
142,71,413669.4473105761,5591138.48476267,-4.216417792061193,50.465881718879125
143,71,413781.0244657123,5591310.838215886,-4.214885730882109,50.46744781967645
144,72,413745.43150119163,5591011.2582628755,-4.2153180899451765,50.46474897010547
145,72,413913.00567419105,5591116.968135449,-4.212981867114235,50.465724068401755
146,73,413811.80059975083,5590891.161691555,-4.214355522624735,50.46367890449675
147,73,414007.5944114474,5590996.48365562,-4.211621726463772,50.46465463503178
148,74,413877.8477496172,5590754.669292947,-4.213393761431207,50.462461363091805
149,74,414065.0640147124,5590863.321589654,-4.210781604198959,50.46346575792586
150,75,413961.3939154503,5590566.380055945,-4.2121736622021055,50.460780658892034
151,75,414168.0055146707,5590682.702029848,-4.2092901329245604,50.461856826032616
152,76,414030.25840366964,5590409.894019626,-4.2111677431385015,50.459383741727244
153,76,414241.3552904322,5590535.409666738,-4.208223204639054,50.460543203106425
154,77,414108.40954231203,5590230.261419286,-4.210025775484561,50.45778005680012
155,77,414348.5341356212,5590344.476961236,-4.206669871392422,50.45884212621835
156,78,414209.5910945864,5590012.841678936,-4.208550867308907,50.45583997181642
157,78,414461.4650972194,5590100.707002584,-4.205023564454467,50.45666678797971
158,79,414217.2474476398,5589802.652224078,-4.208394884442962,50.45395120613257
159,79,414513.7162721809,5589808.190053488,-4.20422086770525,50.454044282199085
160,80,414200.8175245342,5589580.065577703,-4.208575277272407,50.451947449550445
161,80,414517.1950315484,5589571.636336841,-4.204117879125751,50.451917849477425
162,81,414173.1744042069,5589326.146674995,-4.208906383008928,50.44966033242431
163,81,414525.2913263182,5589359.021966473,-4.203955339566392,50.450007336060835
164,82,414201.3235373698,5589083.598747781,-4.208454429901577,50.44748361602056
165,82,414586.11240952223,5589111.399585834,-4.203042380481893,50.44778973025936
166,83,414290.2388918771,5588826.30545318,-4.207143510014795,50.44518319571302
167,83,414659.011008811,5588964.109770561,-4.201982301054542,50.446476000756824
168,84,414465.3302611296,5588607.84306459,-4.204628216959161,50.44324447019941
169,84,414773.904706113,5588806.968907806,-4.2003287158791505,50.44507978783862
170,85,414597.3537898397,5588427.642201066,-4.202728228967615,50.44164344589778
171,85,414913.3256503522,5588640.179326971,-4.1983276848174365,50.44360035218933
172,86,414697.3415172358,5588219.335569089,-4.201273012945412,50.439785023471764
173,86,415176.0917891872,5588353.556627476,-4.194562964186535,50.44106125527855
174,87,414757.45650603384,5588052.103421521,-4.200388607324345,50.43829010840289
175,87,415306.4474616726,5588068.534488856,-4.192663196750708,50.43851733024372
176,88,414830.7676180012,5587773.066476653,-4.199293075995889,50.4357918190419
177,88,415342.0450263524,5587753.193875601,-4.192090802417598,50.43568710505199
178,89,414735.45579641726,5587596.323253294,-4.200594677123199,50.43418881156266
179,89,416134.4339825508,5587361.648646328,-4.180847909308212,50.432280298082766
180,90,414651.4510981353,5587444.807513715,-4.201742762868321,50.43281426425982
181,90,415702.69540884753,5587113.172585,-4.186869649938402,50.42998429587633
182,91,414577.34784763935,5587269.861054591,-4.20274606485005,50.43123047177798
